Sexo;Edad;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;Total;Estudios primarios incompletos;2016T1;122,1
Ambos sexos;Total;Estudios primarios incompletos;2015T4;130,6
Ambos sexos;Total;Estudios primarios incompletos;2015T3;147
Ambos sexos;Total;Estudios primarios incompletos;2015T2;151,2
Ambos sexos;Total;Estudios primarios incompletos;2015T1;140,4
Ambos sexos;Total;Estudios primarios incompletos;2014T4;152,3
Ambos sexos;Total;Estudios primarios incompletos;2014T3;167,2
Ambos sexos;Total;Estudios primarios incompletos;2014T2;157
Ambos sexos;Total;Estudios primarios incompletos;2014T1;163,3
Ambos sexos;Total;Educación primaria;2025T1;200
Ambos sexos;Total;Educación primaria;2024T4;200,1
Ambos sexos;Total;Educación primaria;2024T3;218,8
Ambos sexos;Total;Educación primaria;2024T2;225,3
Ambos sexos;Total;Educación primaria;2024T1;244,7
Ambos sexos;Total;Educación primaria;2023T4;223,4
Ambos sexos;Total;Educación primaria;2023T3;237,9
Ambos sexos;Total;Educación primaria;2023T2;260,2
Ambos sexos;Total;Educación primaria;2023T1;312,3
Ambos sexos;Total;Educación primaria;2022T4;266,9
Ambos sexos;Total;Educación primaria;2022T3;252
Ambos sexos;Total;Educación primaria;2022T2;247,9
Ambos sexos;Total;Educación primaria;2022T1;259,2
Ambos sexos;Total;Educación primaria;2021T4;259,1
Ambos sexos;Total;Educación primaria;2021T3;287,9
Ambos sexos;Total;Educación primaria;2021T2;264,2
Ambos sexos;Total;Educación primaria;2021T1;256,7
Ambos sexos;Total;Educación primaria;2020T4;297,4
Ambos sexos;Total;Educación primaria;2020T3;282,7
Ambos sexos;Total;Educación primaria;2020T2;260,7
Ambos sexos;Total;Educación primaria;2020T1;296,8
Ambos sexos;Total;Educación primaria;2019T4;291,4
Ambos sexos;Total;Educación primaria;2019T3;288,8
Ambos sexos;Total;Educación primaria;2019T2;297
Ambos sexos;Total;Educación primaria;2019T1;312
Ambos sexos;Total;Educación primaria;2018T4;298,1
Ambos sexos;Total;Educación primaria;2018T3;322,3
Ambos sexos;Total;Educación primaria;2018T2;358,7
Ambos sexos;Total;Educación primaria;2018T1;374,4
Ambos sexos;Total;Educación primaria;2017T4;378,5
Ambos sexos;Total;Educación primaria;2017T3;392,7
Ambos sexos;Total;Educación primaria;2017T2;411,2
Ambos sexos;Total;Educación primaria;2017T1;442,1
Ambos sexos;Total;Educación primaria;2016T4;447,1
Ambos sexos;Total;Educación primaria;2016T3;482,5
Ambos sexos;Total;Educación primaria;2016T2;502,5
Ambos sexos;Total;Educación primaria;2016T1;545,2
Ambos sexos;Total;Educación primaria;2015T4;533,4
Ambos sexos;Total;Educación primaria;2015T3;541,3
Ambos sexos;Total;Educación primaria;2015T2;572,4
Ambos sexos;Total;Educación primaria;2015T1;616,3
Ambos sexos;Total;Educación primaria;2014T4;630,9
Ambos sexos;Total;Educación primaria;2014T3;638,3
Ambos sexos;Total;Educación primaria;2014T2;673
Ambos sexos;Total;Educación primaria;2014T1;704,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2025T1;1.025,6
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2024T4;933,8
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2024T3;956,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2024T2;1.007,2
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2024T1;1.077
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2023T4;1.005,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2023T3;1.027,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2023T2;1.010,3
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2023T1;1.160,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2022T4;1.116,2
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2022T3;1.103,4
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2022T2;1.112,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2022T1;1.206,3
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2021T4;1.192,1
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2021T3;1.254,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2021T2;1.290,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2021T1;1.351,4
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2020T4;1.296,7
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2020T3;1.290,1
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2020T2;1.206,2
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2020T1;1.233,2
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2019T4;1.215,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2019T3;1.196,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2019T2;1.233,4
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2019T1;1.303,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2018T4;1.267,1
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2018T3;1.276,3
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2018T2;1.373,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2018T1;1.520,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2017T4;1.497,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2017T3;1.465,6
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2017T2;1.604,8
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2017T1;1.738,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2016T4;1.682,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2016T3;1.691,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2016T2;1.822,2
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2016T1;1.912,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2015T4;1.891,3
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2015T3;1.875,1
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2015T2;2.056,9
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2015T1;2.176,5
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2014T4;2.107,7
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2014T3;2.118,7
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2014T2;2.208,3
Ambos sexos;Total;Primera etapa de Educación Secundaria y similar;2014T1;2.315,5
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2025T1;419,9
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2024T4;391,6
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2024T3;417,2
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2024T2;419,4
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2024T1;420,1
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2023T4;401,5
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2023T3;418
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2023T2;424,8
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2023T1;472,7
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2022T4;465,9
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2022T3;447,2
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2022T2;475,2
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2022T1;483,1
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2021T4;459,8
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2021T3;495,3
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2021T2;558,9
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2021T1;561,6
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2020T4;583,4
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2020T3;574,9
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2020T2;514,6
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2020T1;468,6
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2019T4;431,2
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2019T3;456,8
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2019T2;461
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2019T1;469,8
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2018T4;463,2
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2018T3;475,5
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2018T2;503,4
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2018T1;541
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2017T4;520,6
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2017T3;493,7
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2017T2;535,9
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2017T1;554
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2016T4;536,4
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2016T3;551,8
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2016T2;609,5
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2016T1;604,7
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2015T4;601,1
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2015T3;626,2
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2015T2;676,3
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2015T1;708,8
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2014T4;736,8
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2014T3;702
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2014T2;745,4
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2014T1;790,5
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2025T1;312,6
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024T4;291,4
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024T3;305,5
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024T2;301,3
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2024T1;355,6
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T4;350,9
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T3;326,1
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T2;325,8
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T1;358,5
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T4;330
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T3;317,9
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T2;342,8
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T1;376,8
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T4;364
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T3;370,8
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T2;429,4
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T1;423,2
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T4;397,4
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T3;373,8
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T2;352
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020T1;363
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T4;333,3
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T3;334,6
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T2;362,3
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019T1;355
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T4;339,3
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T3;327,3
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T2;352,4
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018T1;388,7
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T4;395,6
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T3;372,1
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T2;386,3
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017T1;428,3
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016T4;433,5
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016T3;430,1
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016T2;476,2
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016T1;515,8
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015T4;503,9
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015T3;501,4
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015T2;507,1
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015T1;555,6
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014T4;543,4
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014T3;515,4
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014T2;566,1
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014T1;574,5
Ambos sexos;Total;Educación superior;2025T1;752,8
Ambos sexos;Total;Educación superior;2024T4;698,2
Ambos sexos;Total;Educación superior;2024T3;787,6
Ambos sexos;Total;Educación superior;2024T2;720,3
Ambos sexos;Total;Educación superior;2024T1;790,4
Ambos sexos;Total;Educación superior;2023T4;808,7
Ambos sexos;Total;Educación superior;2023T3;810,9
Ambos sexos;Total;Educación superior;2023T2;706,8
Ambos sexos;Total;Educación superior;2023T1;800,7
Ambos sexos;Total;Educación superior;2022T4;823,7
Ambos sexos;Total;Educación superior;2022T3;820,2
Ambos sexos;Total;Educación superior;2022T2;723,9
Ambos sexos;Total;Educación superior;2022T1;792,1
Ambos sexos;Total;Educación superior;2021T4;793,2
Ambos sexos;Total;Educación superior;2021T3;954,8
Ambos sexos;Total;Educación superior;2021T2;962,4
Ambos sexos;Total;Educación superior;2021T1;1.018,3
Ambos sexos;Total;Educación superior;2020T4;1.061,5
Ambos sexos;Total;Educación superior;2020T3;1.096,8
Ambos sexos;Total;Educación superior;2020T2;954,5
Ambos sexos;Total;Educación superior;2020T1;865,4
Ambos sexos;Total;Educación superior;2019T4;830,6
Ambos sexos;Total;Educación superior;2019T3;841,5
Ambos sexos;Total;Educación superior;2019T2;774,5
Ambos sexos;Total;Educación superior;2019T1;819,3
Ambos sexos;Total;Educación superior;2018T4;821,9
Ambos sexos;Total;Educación superior;2018T3;807,1
Ambos sexos;Total;Educación superior;2018T2;783,9
Ambos sexos;Total;Educación superior;2018T1;832,8
Ambos sexos;Total;Educación superior;2017T4;851,4
Ambos sexos;Total;Educación superior;2017T3;878,5
Ambos sexos;Total;Educación superior;2017T2;854,4
Ambos sexos;Total;Educación superior;2017T1;953,7
Ambos sexos;Total;Educación superior;2016T4;997,4
Ambos sexos;Total;Educación superior;2016T3;1.016,4
Ambos sexos;Total;Educación superior;2016T2;1.010,8
Ambos sexos;Total;Educación superior;2016T1;1.056,6
Ambos sexos;Total;Educación superior;2015T4;1.083,1
Ambos sexos;Total;Educación superior;2015T3;1.120,3
Ambos sexos;Total;Educación superior;2015T2;1.142,5
Ambos sexos;Total;Educación superior;2015T1;1.200,1
Ambos sexos;Total;Educación superior;2014T4;1.239,3
Ambos sexos;Total;Educación superior;2014T3;1.239,4
Ambos sexos;Total;Educación superior;2014T2;1.227,1
Ambos sexos;Total;Educación superior;2014T1;1.335,2
Ambos sexos;De 16 a 19 años;Total;2025T1;104,3
Ambos sexos;De 16 a 19 años;Total;2024T4;116,3
Ambos sexos;De 16 a 19 años;Total;2024T3;149,1
Ambos sexos;De 16 a 19 años;Total;2024T2;148,4
Ambos sexos;De 16 a 19 años;Total;2024T1;116,3
Ambos sexos;De 16 a 19 años;Total;2023T4;118,1
Ambos sexos;De 16 a 19 años;Total;2023T3;148,7
Ambos sexos;De 16 a 19 años;Total;2023T2;124,8
Ambos sexos;De 16 a 19 años;Total;2023T1;115,6
Ambos sexos;De 16 a 19 años;Total;2022T4;109,6
Ambos sexos;De 16 a 19 años;Total;2022T3;143,7
Ambos sexos;De 16 a 19 años;Total;2022T2;147,3
Ambos sexos;De 16 a 19 años;Total;2022T1;117,1
Ambos sexos;De 16 a 19 años;Total;2021T4;120,8
Ambos sexos;De 16 a 19 años;Total;2021T3;141,4
Ambos sexos;De 16 a 19 años;Total;2021T2;144,9
Ambos sexos;De 16 a 19 años;Total;2021T1;115,7
Ambos sexos;De 16 a 19 años;Total;2020T4;131,1
Ambos sexos;De 16 a 19 años;Total;2020T3;150,2
Ambos sexos;De 16 a 19 años;Total;2020T2;108,2
Ambos sexos;De 16 a 19 años;Total;2020T1;116,5
Ambos sexos;De 16 a 19 años;Total;2019T4;114,7
Ambos sexos;De 16 a 19 años;Total;2019T3;130,1
Ambos sexos;De 16 a 19 años;Total;2019T2;128,9
Ambos sexos;De 16 a 19 años;Total;2019T1;123,3
Ambos sexos;De 16 a 19 años;Total;2018T4;120,1
Ambos sexos;De 16 a 19 años;Total;2018T3;137,8
Ambos sexos;De 16 a 19 años;Total;2018T2;139,7
Ambos sexos;De 16 a 19 años;Total;2018T1;132,8
Ambos sexos;De 16 a 19 años;Total;2017T4;140,2
Ambos sexos;De 16 a 19 años;Total;2017T3;150,3
Ambos sexos;De 16 a 19 años;Total;2017T2;141,1
Ambos sexos;De 16 a 19 años;Total;2017T1;134,5
Ambos sexos;De 16 a 19 años;Total;2016T4;137,5
Ambos sexos;De 16 a 19 años;Total;2016T3;146,3
Ambos sexos;De 16 a 19 años;Total;2016T2;147,8
Ambos sexos;De 16 a 19 años;Total;2016T1;143,6
Ambos sexos;De 16 a 19 años;Total;2015T4;155,1
Ambos sexos;De 16 a 19 años;Total;2015T3;185,9
Ambos sexos;De 16 a 19 años;Total;2015T2;177,3
Ambos sexos;De 16 a 19 años;Total;2015T1;170,8
Ambos sexos;De 16 a 19 años;Total;2014T4;168,2
Ambos sexos;De 16 a 19 años;Total;2014T3;183,6
Ambos sexos;De 16 a 19 años;Total;2014T2;171,2
Ambos sexos;De 16 a 19 años;Total;2014T1;169,5
Ambos sexos;De 16 a 19 años;Analfabetos;2025T1;1,5
Ambos sexos;De 16 a 19 años;Analfabetos;2024T4;..
Ambos sexos;De 16 a 19 años;Analfabetos;2024T3;..
Ambos sexos;De 16 a 19 años;Analfabetos;2024T2;..
Ambos sexos;De 16 a 19 años;Analfabetos;2024T1;..
Ambos sexos;De 16 a 19 años;Analfabetos;2023T4;..
