Sexo;Sector económico;Edad;Periodo;Total
Ambos sexos;Total;De 16 a 19 años;2010T2;259,2
Ambos sexos;Total;De 16 a 19 años;2010T1;233,8
Ambos sexos;Total;De 16 a 19 años;2009T4;220,7
Ambos sexos;Total;De 16 a 19 años;2009T3;263
Ambos sexos;Total;De 16 a 19 años;2009T2;266,4
Ambos sexos;Total;De 16 a 19 años;2009T1;258,4
Ambos sexos;Total;De 16 a 19 años;2008T4;228
Ambos sexos;Total;De 16 a 19 años;2008T3;230,9
Ambos sexos;Total;De 16 a 19 años;2008T2;224,4
Ambos sexos;Total;De 16 a 19 años;2008T1;172,1
Ambos sexos;Total;De 20 a 24 años;2025T1;346,6
Ambos sexos;Total;De 20 a 24 años;2024T4;318,1
Ambos sexos;Total;De 20 a 24 años;2024T3;374,4
Ambos sexos;Total;De 20 a 24 años;2024T2;322
Ambos sexos;Total;De 20 a 24 años;2024T1;348,7
Ambos sexos;Total;De 20 a 24 años;2023T4;362,9
Ambos sexos;Total;De 20 a 24 años;2023T3;376,5
Ambos sexos;Total;De 20 a 24 años;2023T2;345,6
Ambos sexos;Total;De 20 a 24 años;2023T1;353,3
Ambos sexos;Total;De 20 a 24 años;2022T4;346,5
Ambos sexos;Total;De 20 a 24 años;2022T3;382,7
Ambos sexos;Total;De 20 a 24 años;2022T2;331,3
Ambos sexos;Total;De 20 a 24 años;2022T1;334
Ambos sexos;Total;De 20 a 24 años;2021T4;333,4
Ambos sexos;Total;De 20 a 24 años;2021T3;386,2
Ambos sexos;Total;De 20 a 24 años;2021T2;444,7
Ambos sexos;Total;De 20 a 24 años;2021T1;431,9
Ambos sexos;Total;De 20 a 24 años;2020T4;441,3
Ambos sexos;Total;De 20 a 24 años;2020T3;472,2
Ambos sexos;Total;De 20 a 24 años;2020T2;402
Ambos sexos;Total;De 20 a 24 años;2020T1;369,7
Ambos sexos;Total;De 20 a 24 años;2019T4;348,1
Ambos sexos;Total;De 20 a 24 años;2019T3;394,9
Ambos sexos;Total;De 20 a 24 años;2019T2;377,8
Ambos sexos;Total;De 20 a 24 años;2019T1;385,5
Ambos sexos;Total;De 20 a 24 años;2018T4;382,8
Ambos sexos;Total;De 20 a 24 años;2018T3;391
Ambos sexos;Total;De 20 a 24 años;2018T2;383
Ambos sexos;Total;De 20 a 24 años;2018T1;382,4
Ambos sexos;Total;De 20 a 24 años;2017T4;418
Ambos sexos;Total;De 20 a 24 años;2017T3;428,8
Ambos sexos;Total;De 20 a 24 años;2017T2;442,7
Ambos sexos;Total;De 20 a 24 años;2017T1;457,3
Ambos sexos;Total;De 20 a 24 años;2016T4;476,4
Ambos sexos;Total;De 20 a 24 años;2016T3;501,1
Ambos sexos;Total;De 20 a 24 años;2016T2;545
Ambos sexos;Total;De 20 a 24 años;2016T1;526,5
Ambos sexos;Total;De 20 a 24 años;2015T4;532,5
Ambos sexos;Total;De 20 a 24 años;2015T3;580,8
Ambos sexos;Total;De 20 a 24 años;2015T2;589,9
Ambos sexos;Total;De 20 a 24 años;2015T1;611,3
Ambos sexos;Total;De 20 a 24 años;2014T4;645,5
Ambos sexos;Total;De 20 a 24 años;2014T3;684
Ambos sexos;Total;De 20 a 24 años;2014T2;669,4
Ambos sexos;Total;De 20 a 24 años;2014T1;711,9
Ambos sexos;Total;De 20 a 24 años;2013T4;706
Ambos sexos;Total;De 20 a 24 años;2013T3;728,8
Ambos sexos;Total;De 20 a 24 años;2013T2;750
Ambos sexos;Total;De 20 a 24 años;2013T1;773,9
Ambos sexos;Total;De 20 a 24 años;2012T4;751,4
Ambos sexos;Total;De 20 a 24 años;2012T3;738,9
Ambos sexos;Total;De 20 a 24 años;2012T2;731,2
Ambos sexos;Total;De 20 a 24 años;2012T1;715,1
Ambos sexos;Total;De 20 a 24 años;2011T4;679,6
Ambos sexos;Total;De 20 a 24 años;2011T3;686,1
Ambos sexos;Total;De 20 a 24 años;2011T2;671,6
Ambos sexos;Total;De 20 a 24 años;2011T1;656,4
Ambos sexos;Total;De 20 a 24 años;2010T4;627,6
Ambos sexos;Total;De 20 a 24 años;2010T3;619,9
Ambos sexos;Total;De 20 a 24 años;2010T2;619,8
Ambos sexos;Total;De 20 a 24 años;2010T1;606,9
Ambos sexos;Total;De 20 a 24 años;2009T4;599,5
Ambos sexos;Total;De 20 a 24 años;2009T3;628,8
Ambos sexos;Total;De 20 a 24 años;2009T2;594,3
Ambos sexos;Total;De 20 a 24 años;2009T1;555
Ambos sexos;Total;De 20 a 24 años;2008T4;459,7
Ambos sexos;Total;De 20 a 24 años;2008T3;386,5
Ambos sexos;Total;De 20 a 24 años;2008T2;348,5
Ambos sexos;Total;De 20 a 24 años;2008T1;327,8
Ambos sexos;Total;De 25 a 54 años;2025T1;1.796,7
Ambos sexos;Total;De 25 a 54 años;2024T4;1.655,4
Ambos sexos;Total;De 25 a 54 años;2024T3;1.714,7
Ambos sexos;Total;De 25 a 54 años;2024T2;1.777,3
Ambos sexos;Total;De 25 a 54 años;2024T1;1.956,3
Ambos sexos;Total;De 25 a 54 años;2023T4;1.849,7
Ambos sexos;Total;De 25 a 54 años;2023T3;1.835,2
Ambos sexos;Total;De 25 a 54 años;2023T2;1.800,7
Ambos sexos;Total;De 25 a 54 años;2023T1;2.150,9
Ambos sexos;Total;De 25 a 54 años;2022T4;2.101,2
Ambos sexos;Total;De 25 a 54 años;2022T3;2.006,4
Ambos sexos;Total;De 25 a 54 años;2022T2;1.969,8
Ambos sexos;Total;De 25 a 54 años;2022T1;2.202,6
Ambos sexos;Total;De 25 a 54 años;2021T4;2.131,6
Ambos sexos;Total;De 25 a 54 años;2021T3;2.313,4
Ambos sexos;Total;De 25 a 54 años;2021T2;2.434,8
Ambos sexos;Total;De 25 a 54 años;2021T1;2.605,2
Ambos sexos;Total;De 25 a 54 años;2020T4;2.605,8
Ambos sexos;Total;De 25 a 54 años;2020T3;2.589
Ambos sexos;Total;De 25 a 54 años;2020T2;2.383,8
Ambos sexos;Total;De 25 a 54 años;2020T1;2.318,2
Ambos sexos;Total;De 25 a 54 años;2019T4;2.218,7
Ambos sexos;Total;De 25 a 54 años;2019T3;2.216,7
Ambos sexos;Total;De 25 a 54 años;2019T2;2.231,9
Ambos sexos;Total;De 25 a 54 años;2019T1;2.352,5
Ambos sexos;Total;De 25 a 54 años;2018T4;2.303,9
Ambos sexos;Total;De 25 a 54 años;2018T3;2.334,2
Ambos sexos;Total;De 25 a 54 años;2018T2;2.455,8
Ambos sexos;Total;De 25 a 54 años;2018T1;2.727,4
Ambos sexos;Total;De 25 a 54 años;2017T4;2.675,8
Ambos sexos;Total;De 25 a 54 años;2017T3;2.628,6
Ambos sexos;Total;De 25 a 54 años;2017T2;2.788,4
Ambos sexos;Total;De 25 a 54 años;2017T1;3.103,2
Ambos sexos;Total;De 25 a 54 años;2016T4;3.049,9
Ambos sexos;Total;De 25 a 54 años;2016T3;3.105,6
Ambos sexos;Total;De 25 a 54 años;2016T2;3.305,2
Ambos sexos;Total;De 25 a 54 años;2016T1;3.519,2
Ambos sexos;Total;De 25 a 54 años;2015T4;3.482,2
Ambos sexos;Total;De 25 a 54 años;2015T3;3.488,2
Ambos sexos;Total;De 25 a 54 años;2015T2;3.789,9
Ambos sexos;Total;De 25 a 54 años;2015T1;4.063,9
Ambos sexos;Total;De 25 a 54 años;2014T4;4.030
Ambos sexos;Total;De 25 a 54 años;2014T3;3.966,9
Ambos sexos;Total;De 25 a 54 años;2014T2;4.171,8
Ambos sexos;Total;De 25 a 54 años;2014T1;4.449,2
Ambos sexos;Total;De 25 a 54 años;2013T4;4.436,4
Ambos sexos;Total;De 25 a 54 años;2013T3;4.404
Ambos sexos;Total;De 25 a 54 años;2013T2;4.516,3
Ambos sexos;Total;De 25 a 54 años;2013T1;4.708
Ambos sexos;Total;De 25 a 54 años;2012T4;4.536,9
Ambos sexos;Total;De 25 a 54 años;2012T3;4.328,8
Ambos sexos;Total;De 25 a 54 años;2012T2;4.258,8
Ambos sexos;Total;De 25 a 54 años;2012T1;4.256,4
Ambos sexos;Total;De 25 a 54 años;2011T4;3.947
Ambos sexos;Total;De 25 a 54 años;2011T3;3.665,8
Ambos sexos;Total;De 25 a 54 años;2011T2;3.567,3
Ambos sexos;Total;De 25 a 54 años;2011T1;3.663,4
Ambos sexos;Total;De 25 a 54 años;2010T4;3.471,7
Ambos sexos;Total;De 25 a 54 años;2010T3;3.349,7
Ambos sexos;Total;De 25 a 54 años;2010T2;3.413,5
Ambos sexos;Total;De 25 a 54 años;2010T1;3.427,2
Ambos sexos;Total;De 25 a 54 años;2009T4;3.184,4
Ambos sexos;Total;De 25 a 54 años;2009T3;2.926,4
Ambos sexos;Total;De 25 a 54 años;2009T2;2.969,1
Ambos sexos;Total;De 25 a 54 años;2009T1;2.931,1
Ambos sexos;Total;De 25 a 54 años;2008T4;2.298,8
Ambos sexos;Total;De 25 a 54 años;2008T3;1.807,7
Ambos sexos;Total;De 25 a 54 años;2008T2;1.645,9
Ambos sexos;Total;De 25 a 54 años;2008T1;1.529,6
Ambos sexos;Total;55 y más años;2025T1;541,5
Ambos sexos;Total;55 y más años;2024T4;505,7
Ambos sexos;Total;55 y más años;2024T3;515,9
Ambos sexos;Total;55 y más años;2024T2;507,6
Ambos sexos;Total;55 y más años;2024T1;556,6
Ambos sexos;Total;55 y más años;2023T4;530,1
Ambos sexos;Total;55 y más años;2023T3;534,1
Ambos sexos;Total;55 y más años;2023T2;537,2
Ambos sexos;Total;55 y más años;2023T1;566,5
Ambos sexos;Total;55 y más años;2022T4;524,3
Ambos sexos;Total;55 y más años;2022T3;493
Ambos sexos;Total;55 y más años;2022T2;546,4
Ambos sexos;Total;55 y más años;2022T1;561
Ambos sexos;Total;55 y más años;2021T4;562,9
Ambos sexos;Total;55 y más años;2021T3;626,3
Ambos sexos;Total;55 y más años;2021T2;561,9
Ambos sexos;Total;55 y más años;2021T1;550,5
Ambos sexos;Total;55 y más años;2020T4;541,7
Ambos sexos;Total;55 y más años;2020T3;511,5
Ambos sexos;Total;55 y más años;2020T2;474
Ambos sexos;Total;55 y más años;2020T1;508,6
Ambos sexos;Total;55 y más años;2019T4;510,5
Ambos sexos;Total;55 y más años;2019T3;472,6
Ambos sexos;Total;55 y más años;2019T2;492,1
Ambos sexos;Total;55 y más años;2019T1;492,9
Ambos sexos;Total;55 y más años;2018T4;497,5
Ambos sexos;Total;55 y más años;2018T3;463
Ambos sexos;Total;55 y más años;2018T2;511,6
Ambos sexos;Total;55 y más años;2018T1;553,4
Ambos sexos;Total;55 y más años;2017T4;532,7
Ambos sexos;Total;55 y más años;2017T3;524
Ambos sexos;Total;55 y más años;2017T2;542,1
Ambos sexos;Total;55 y más años;2017T1;560,1
Ambos sexos;Total;55 y más años;2016T4;574
Ambos sexos;Total;55 y más años;2016T3;567,8
Ambos sexos;Total;55 y más años;2016T2;576,7
Ambos sexos;Total;55 y más años;2016T1;602,1
Ambos sexos;Total;55 y más años;2015T4;609,8
Ambos sexos;Total;55 y más años;2015T3;595,9
Ambos sexos;Total;55 y más años;2015T2;591,9
Ambos sexos;Total;55 y más años;2015T1;598,7
Ambos sexos;Total;55 y más años;2014T4;614
Ambos sexos;Total;55 y más años;2014T3;593,1
Ambos sexos;Total;55 y más años;2014T2;610,4
Ambos sexos;Total;55 y más años;2014T1;602,6
Ambos sexos;Total;55 y más años;2013T4;592,2
Ambos sexos;Total;55 y más años;2013T3;577,7
Ambos sexos;Total;55 y más años;2013T2;576,1
Ambos sexos;Total;55 y más años;2013T1;589,4
Ambos sexos;Total;55 y más años;2012T4;538,6
Ambos sexos;Total;55 y más años;2012T3;514,1
Ambos sexos;Total;55 y más años;2012T2;504,5
Ambos sexos;Total;55 y más años;2012T1;481,6
Ambos sexos;Total;55 y más años;2011T4;452,7
Ambos sexos;Total;55 y más años;2011T3;408,1
Ambos sexos;Total;55 y más años;2011T2;384,7
Ambos sexos;Total;55 y más años;2011T1;385
Ambos sexos;Total;55 y más años;2010T4;383,7
Ambos sexos;Total;55 y más años;2010T3;370
Ambos sexos;Total;55 y más años;2010T2;362,8
Ambos sexos;Total;55 y más años;2010T1;349,9
Ambos sexos;Total;55 y más años;2009T4;330,3
Ambos sexos;Total;55 y más años;2009T3;303,2
Ambos sexos;Total;55 y más años;2009T2;309,8
Ambos sexos;Total;55 y más años;2009T1;273,7
Ambos sexos;Total;55 y más años;2008T4;220,3
Ambos sexos;Total;55 y más años;2008T3;175,6
Ambos sexos;Total;55 y más años;2008T2;166,8
Ambos sexos;Total;55 y más años;2008T1;161
Ambos sexos;Agricultura;Total;2025T1;130,4
Ambos sexos;Agricultura;Total;2024T4;125,9
Ambos sexos;Agricultura;Total;2024T3;142,1
Ambos sexos;Agricultura;Total;2024T2;121,4
Ambos sexos;Agricultura;Total;2024T1;128,7
Ambos sexos;Agricultura;Total;2023T4;127,8
Ambos sexos;Agricultura;Total;2023T3;152,7
Ambos sexos;Agricultura;Total;2023T2;133,9
Ambos sexos;Agricultura;Total;2023T1;138,6
Ambos sexos;Agricultura;Total;2022T4;147,7
Ambos sexos;Agricultura;Total;2022T3;165,5
Ambos sexos;Agricultura;Total;2022T2;149,6
Ambos sexos;Agricultura;Total;2022T1;161,4
Ambos sexos;Agricultura;Total;2021T4;164
Ambos sexos;Agricultura;Total;2021T3;200,3
Ambos sexos;Agricultura;Total;2021T2;172,2
Ambos sexos;Agricultura;Total;2021T1;191,1
Ambos sexos;Agricultura;Total;2020T4;184,5
Ambos sexos;Agricultura;Total;2020T3;207,8
Ambos sexos;Agricultura;Total;2020T2;168,2
Ambos sexos;Agricultura;Total;2020T1;164,3
Ambos sexos;Agricultura;Total;2019T4;184
Ambos sexos;Agricultura;Total;2019T3;203,3
Ambos sexos;Agricultura;Total;2019T2;183,3
Ambos sexos;Agricultura;Total;2019T1;173,7
Ambos sexos;Agricultura;Total;2018T4;173,1
Ambos sexos;Agricultura;Total;2018T3;194,3
Ambos sexos;Agricultura;Total;2018T2;186,5
Ambos sexos;Agricultura;Total;2018T1;206,5
Ambos sexos;Agricultura;Total;2017T4;199
Ambos sexos;Agricultura;Total;2017T3;235,1
Ambos sexos;Agricultura;Total;2017T2;206
Ambos sexos;Agricultura;Total;2017T1;217,8
Ambos sexos;Agricultura;Total;2016T4;217,5
Ambos sexos;Agricultura;Total;2016T3;240,4
Ambos sexos;Agricultura;Total;2016T2;251,7
Ambos sexos;Agricultura;Total;2016T1;259,2
Ambos sexos;Agricultura;Total;2015T4;222,6
Ambos sexos;Agricultura;Total;2015T3;258,4
Ambos sexos;Agricultura;Total;2015T2;252,2
Ambos sexos;Agricultura;Total;2015T1;281,1
Ambos sexos;Agricultura;Total;2014T4;271,4
Ambos sexos;Agricultura;Total;2014T3;285,6
Ambos sexos;Agricultura;Total;2014T2;261,4
Ambos sexos;Agricultura;Total;2014T1;241,8
Ambos sexos;Agricultura;Total;2013T4;247,2
Ambos sexos;Agricultura;Total;2013T3;284,9
Ambos sexos;Agricultura;Total;2013T2;269,1
Ambos sexos;Agricultura;Total;2013T1;294,5
Ambos sexos;Agricultura;Total;2012T4;266,9
Ambos sexos;Agricultura;Total;2012T3;296,6
Ambos sexos;Agricultura;Total;2012T2;279,1
Ambos sexos;Agricultura;Total;2012T1;268,1
Ambos sexos;Agricultura;Total;2011T4;206,8
Ambos sexos;Agricultura;Total;2011T3;248,6
Ambos sexos;Agricultura;Total;2011T2;242,2
Ambos sexos;Agricultura;Total;2011T1;224,4
Ambos sexos;Agricultura;Total;2010T4;205,3
Ambos sexos;Agricultura;Total;2010T3;230,2
Ambos sexos;Agricultura;Total;2010T2;231,2
Ambos sexos;Agricultura;Total;2010T1;195,3
Ambos sexos;Agricultura;Total;2009T4;193,7
Ambos sexos;Agricultura;Total;2009T3;214,4
Ambos sexos;Agricultura;Total;2009T2;195,8
Ambos sexos;Agricultura;Total;2009T1;170
Ambos sexos;Agricultura;Total;2008T4;149,6
Ambos sexos;Agricultura;Total;2008T3;144,1
Ambos sexos;Agricultura;Total;2008T2;120,7
Ambos sexos;Agricultura;Total;2008T1;114,8
Ambos sexos;Agricultura;De 16 a 19 años;2025T1;5,3
Ambos sexos;Agricultura;De 16 a 19 años;2024T4;4,9
Ambos sexos;Agricultura;De 16 a 19 años;2024T3;4,2
Ambos sexos;Agricultura;De 16 a 19 años;2024T2;2,8
Ambos sexos;Agricultura;De 16 a 19 años;2024T1;2
Ambos sexos;Agricultura;De 16 a 19 años;2023T4;3,4
Ambos sexos;Agricultura;De 16 a 19 años;2023T3;4,1
Ambos sexos;Agricultura;De 16 a 19 años;2023T2;3,7
Ambos sexos;Agricultura;De 16 a 19 años;2023T1;3,9
Ambos sexos;Agricultura;De 16 a 19 años;2022T4;4,8
Ambos sexos;Agricultura;De 16 a 19 años;2022T3;4,1
Ambos sexos;Agricultura;De 16 a 19 años;2022T2;6,7
Ambos sexos;Agricultura;De 16 a 19 años;2022T1;5,4
Ambos sexos;Agricultura;De 16 a 19 años;2021T4;5
Ambos sexos;Agricultura;De 16 a 19 años;2021T3;5,9
Ambos sexos;Agricultura;De 16 a 19 años;2021T2;3,9
Ambos sexos;Agricultura;De 16 a 19 años;2021T1;5,7
Ambos sexos;Agricultura;De 16 a 19 años;2020T4;5,7
Ambos sexos;Agricultura;De 16 a 19 años;2020T3;7
Ambos sexos;Agricultura;De 16 a 19 años;2020T2;4,6
Ambos sexos;Agricultura;De 16 a 19 años;2020T1;5,3
Ambos sexos;Agricultura;De 16 a 19 años;2019T4;5,4
Ambos sexos;Agricultura;De 16 a 19 años;2019T3;6,8
Ambos sexos;Agricultura;De 16 a 19 años;2019T2;6,8
Ambos sexos;Agricultura;De 16 a 19 años;2019T1;3,9
Ambos sexos;Agricultura;De 16 a 19 años;2018T4;6,3
Ambos sexos;Agricultura;De 16 a 19 años;2018T3;7,3
Ambos sexos;Agricultura;De 16 a 19 años;2018T2;4,2
Ambos sexos;Agricultura;De 16 a 19 años;2018T1;6,6
Ambos sexos;Agricultura;De 16 a 19 años;2017T4;5,9
Ambos sexos;Agricultura;De 16 a 19 años;2017T3;4,4
Ambos sexos;Agricultura;De 16 a 19 años;2017T2;4,3
Ambos sexos;Agricultura;De 16 a 19 años;2017T1;4,4
Ambos sexos;Agricultura;De 16 a 19 años;2016T4;5,3
Ambos sexos;Agricultura;De 16 a 19 años;2016T3;5,5
Ambos sexos;Agricultura;De 16 a 19 años;2016T2;5,4
Ambos sexos;Agricultura;De 16 a 19 años;2016T1;6,9
Ambos sexos;Agricultura;De 16 a 19 años;2015T4;3
Ambos sexos;Agricultura;De 16 a 19 años;2015T3;4,7
Ambos sexos;Agricultura;De 16 a 19 años;2015T2;7,1
Ambos sexos;Agricultura;De 16 a 19 años;2015T1;5,6
Ambos sexos;Agricultura;De 16 a 19 años;2014T4;5
Ambos sexos;Agricultura;De 16 a 19 años;2014T3;7,5
Ambos sexos;Agricultura;De 16 a 19 años;2014T2;6,5
Ambos sexos;Agricultura;De 16 a 19 años;2014T1;4,3
Ambos sexos;Agricultura;De 16 a 19 años;2013T4;6,4
Ambos sexos;Agricultura;De 16 a 19 años;2013T3;6
Ambos sexos;Agricultura;De 16 a 19 años;2013T2;6,7
Ambos sexos;Agricultura;De 16 a 19 años;2013T1;7,9
Ambos sexos;Agricultura;De 16 a 19 años;2012T4;8
Ambos sexos;Agricultura;De 16 a 19 años;2012T3;10,1
Ambos sexos;Agricultura;De 16 a 19 años;2012T2;13,5
Ambos sexos;Agricultura;De 16 a 19 años;2012T1;8,4
Ambos sexos;Agricultura;De 16 a 19 años;2011T4;5,4
Ambos sexos;Agricultura;De 16 a 19 años;2011T3;7,8
Ambos sexos;Agricultura;De 16 a 19 años;2011T2;7,7
Ambos sexos;Agricultura;De 16 a 19 años;2011T1;9,6
Ambos sexos;Agricultura;De 16 a 19 años;2010T4;7
Ambos sexos;Agricultura;De 16 a 19 años;2010T3;11,9
Ambos sexos;Agricultura;De 16 a 19 años;2010T2;12,2
Ambos sexos;Agricultura;De 16 a 19 años;2010T1;9,9
Ambos sexos;Agricultura;De 16 a 19 años;2009T4;10,7
Ambos sexos;Agricultura;De 16 a 19 años;2009T3;13,9
Ambos sexos;Agricultura;De 16 a 19 años;2009T2;15,1
Ambos sexos;Agricultura;De 16 a 19 años;2009T1;11,9
Ambos sexos;Agricultura;De 16 a 19 años;2008T4;8,4
Ambos sexos;Agricultura;De 16 a 19 años;2008T3;10,4
Ambos sexos;Agricultura;De 16 a 19 años;2008T2;8,5
Ambos sexos;Agricultura;De 16 a 19 años;2008T1;6,1
Ambos sexos;Agricultura;De 20 a 24 años;2025T1;12,9
Ambos sexos;Agricultura;De 20 a 24 años;2024T4;9,8
Ambos sexos;Agricultura;De 20 a 24 años;2024T3;10,5
