Sexo;Edad;Estado civil;Periodo;Total
Ambos sexos;Total;Solteros/Solteras;2015T4;2.253,9
Ambos sexos;Total;Solteros/Solteras;2015T3;2.338,3
Ambos sexos;Total;Solteros/Solteras;2015T2;2.439,3
Ambos sexos;Total;Solteros/Solteras;2015T1;2.584,6
Ambos sexos;Total;Solteros/Solteras;2014T4;2.593,8
Ambos sexos;Total;Solteros/Solteras;2014T3;2.592,9
Ambos sexos;Total;Solteros/Solteras;2014T2;2.666,5
Ambos sexos;Total;Solteros/Solteras;2014T1;2.829,4
Ambos sexos;Total;Solteros/Solteras;2013T4;2.834,8
Ambos sexos;Total;Solteros/Solteras;2013T3;2.863,6
Ambos sexos;Total;Solteros/Solteras;2013T2;2.907,3
Ambos sexos;Total;Solteros/Solteras;2013T1;2.987,3
Ambos sexos;Total;Solteros/Solteras;2012T4;2.869,5
Ambos sexos;Total;Solteros/Solteras;2012T3;2.818,7
Ambos sexos;Total;Solteros/Solteras;2012T2;2.795,9
Ambos sexos;Total;Solteros/Solteras;2012T1;2.709,5
Ambos sexos;Total;Solteros/Solteras;2011T4;2.525,8
Ambos sexos;Total;Solteros/Solteras;2011T3;2.417,2
Ambos sexos;Total;Solteros/Solteras;2011T2;2.355,7
Ambos sexos;Total;Solteros/Solteras;2011T1;2.355,5
Ambos sexos;Total;Solteros/Solteras;2010T4;2.247
Ambos sexos;Total;Solteros/Solteras;2010T3;2.239
Ambos sexos;Total;Solteros/Solteras;2010T2;2.271,9
Ambos sexos;Total;Solteros/Solteras;2010T1;2.247,8
Ambos sexos;Total;Solteros/Solteras;2009T4;2.131,3
Ambos sexos;Total;Solteros/Solteras;2009T3;2.095,9
Ambos sexos;Total;Solteros/Solteras;2009T2;2.054
Ambos sexos;Total;Solteros/Solteras;2009T1;1.996,1
Ambos sexos;Total;Solteros/Solteras;2008T4;1.592,3
Ambos sexos;Total;Solteros/Solteras;2008T3;1.343,3
Ambos sexos;Total;Solteros/Solteras;2008T2;1.234,4
Ambos sexos;Total;Solteros/Solteras;2008T1;1.105,7
Ambos sexos;Total;Solteros/Solteras;2007T4;963,7
Ambos sexos;Total;Solteros/Solteras;2007T3;927,4
Ambos sexos;Total;Solteros/Solteras;2007T2;899,2
Ambos sexos;Total;Solteros/Solteras;2007T1;930,8
Ambos sexos;Total;Solteros/Solteras;2006T4;943,4
Ambos sexos;Total;Solteros/Solteras;2006T3;937,7
Ambos sexos;Total;Solteros/Solteras;2006T2;966,5
Ambos sexos;Total;Solteros/Solteras;2006T1;1.006,3
Ambos sexos;Total;Solteros/Solteras;2005T4;1.002,1
Ambos sexos;Total;Solteros/Solteras;2005T3;969,3
Ambos sexos;Total;Solteros/Solteras;2005T2;1.075,6
Ambos sexos;Total;Solteros/Solteras;2005T1;1.144,4
Ambos sexos;Total;Solteros/Solteras;2004T4;1.083,5
Ambos sexos;Total;Solteros/Solteras;2004T3;1.129,7
Ambos sexos;Total;Solteros/Solteras;2004T2;1.172,4
Ambos sexos;Total;Solteros/Solteras;2004T1;1.213,2
Ambos sexos;Total;Solteros/Solteras;2003T4;1.202,2
Ambos sexos;Total;Solteros/Solteras;2003T3;1.203
Ambos sexos;Total;Solteros/Solteras;2003T2;1.144,9
Ambos sexos;Total;Solteros/Solteras;2003T1;1.224,9
Ambos sexos;Total;Solteros/Solteras;2002T4;1.171,9
Ambos sexos;Total;Solteros/Solteras;2002T3;1.143,2
Ambos sexos;Total;Solteros/Solteras;2002T2;1.094,2
Ambos sexos;Total;Solteros/Solteras;2002T1;1.123,9
Ambos sexos;Total;Casados/Casadas;2025T1;1.028,8
Ambos sexos;Total;Casados/Casadas;2024T4;967
Ambos sexos;Total;Casados/Casadas;2024T3;958,1
Ambos sexos;Total;Casados/Casadas;2024T2;998,9
Ambos sexos;Total;Casados/Casadas;2024T1;1.090,7
Ambos sexos;Total;Casados/Casadas;2023T4;1.009,3
Ambos sexos;Total;Casados/Casadas;2023T3;1.046,9
Ambos sexos;Total;Casados/Casadas;2023T2;1.004,8
Ambos sexos;Total;Casados/Casadas;2023T1;1.165,1
Ambos sexos;Total;Casados/Casadas;2022T4;1.138,3
Ambos sexos;Total;Casados/Casadas;2022T3;1.100,2
Ambos sexos;Total;Casados/Casadas;2022T2;1.117,1
Ambos sexos;Total;Casados/Casadas;2022T1;1.201,5
Ambos sexos;Total;Casados/Casadas;2021T4;1.196,5
Ambos sexos;Total;Casados/Casadas;2021T3;1.276
Ambos sexos;Total;Casados/Casadas;2021T2;1.284,4
Ambos sexos;Total;Casados/Casadas;2021T1;1.361,4
Ambos sexos;Total;Casados/Casadas;2020T4;1.408,4
Ambos sexos;Total;Casados/Casadas;2020T3;1.329
Ambos sexos;Total;Casados/Casadas;2020T2;1.276,5
Ambos sexos;Total;Casados/Casadas;2020T1;1.281,6
Ambos sexos;Total;Casados/Casadas;2019T4;1.257,3
Ambos sexos;Total;Casados/Casadas;2019T3;1.248
Ambos sexos;Total;Casados/Casadas;2019T2;1.301,8
Ambos sexos;Total;Casados/Casadas;2019T1;1.317,6
Ambos sexos;Total;Casados/Casadas;2018T4;1.295
Ambos sexos;Total;Casados/Casadas;2018T3;1.290
Ambos sexos;Total;Casados/Casadas;2018T2;1.416,5
Ambos sexos;Total;Casados/Casadas;2018T1;1.566,7
Ambos sexos;Total;Casados/Casadas;2017T4;1.549
Ambos sexos;Total;Casados/Casadas;2017T3;1.504,2
Ambos sexos;Total;Casados/Casadas;2017T2;1.603,7
Ambos sexos;Total;Casados/Casadas;2017T1;1.764,3
Ambos sexos;Total;Casados/Casadas;2016T4;1.771
Ambos sexos;Total;Casados/Casadas;2016T3;1.789,8
Ambos sexos;Total;Casados/Casadas;2016T2;1.907,6
Ambos sexos;Total;Casados/Casadas;2016T1;2.022,2
Ambos sexos;Total;Casados/Casadas;2015T4;2.053,4
Ambos sexos;Total;Casados/Casadas;2015T3;2.031,7
Ambos sexos;Total;Casados/Casadas;2015T2;2.197
Ambos sexos;Total;Casados/Casadas;2015T1;2.352,3
Ambos sexos;Total;Casados/Casadas;2014T4;2.347,6
Ambos sexos;Total;Casados/Casadas;2014T3;2.305,8
Ambos sexos;Total;Casados/Casadas;2014T2;2.398,5
Ambos sexos;Total;Casados/Casadas;2014T1;2.534
Ambos sexos;Total;Casados/Casadas;2013T4;2.562,5
Ambos sexos;Total;Casados/Casadas;2013T3;2.564,1
Ambos sexos;Total;Casados/Casadas;2013T2;2.601,4
Ambos sexos;Total;Casados/Casadas;2013T1;2.733,3
Ambos sexos;Total;Casados/Casadas;2012T4;2.662
Ambos sexos;Total;Casados/Casadas;2012T3;2.551,2
Ambos sexos;Total;Casados/Casadas;2012T2;2.468
Ambos sexos;Total;Casados/Casadas;2012T1;2.471,8
Ambos sexos;Total;Casados/Casadas;2011T4;2.322,7
Ambos sexos;Total;Casados/Casadas;2011T3;2.182,4
Ambos sexos;Total;Casados/Casadas;2011T2;2.097,6
Ambos sexos;Total;Casados/Casadas;2011T1;2.173
Ambos sexos;Total;Casados/Casadas;2010T4;2.096,4
Ambos sexos;Total;Casados/Casadas;2010T3;1.995,3
Ambos sexos;Total;Casados/Casadas;2010T2;2.022,8
Ambos sexos;Total;Casados/Casadas;2010T1;2.012,4
Ambos sexos;Total;Casados/Casadas;2009T4;1.889
Ambos sexos;Total;Casados/Casadas;2009T3;1.740,1
Ambos sexos;Total;Casados/Casadas;2009T2;1.772,9
Ambos sexos;Total;Casados/Casadas;2009T1;1.725,3
Ambos sexos;Total;Casados/Casadas;2008T4;1.383,4
Ambos sexos;Total;Casados/Casadas;2008T3;1.074,2
Ambos sexos;Total;Casados/Casadas;2008T2;979,9
Ambos sexos;Total;Casados/Casadas;2008T1;921,1
Ambos sexos;Total;Casados/Casadas;2007T4;829,6
Ambos sexos;Total;Casados/Casadas;2007T3;744,3
Ambos sexos;Total;Casados/Casadas;2007T2;736,5
Ambos sexos;Total;Casados/Casadas;2007T1;797
Ambos sexos;Total;Casados/Casadas;2006T4;748,4
Ambos sexos;Total;Casados/Casadas;2006T3;714,1
Ambos sexos;Total;Casados/Casadas;2006T2;745,6
Ambos sexos;Total;Casados/Casadas;2006T1;805,9
Ambos sexos;Total;Casados/Casadas;2005T4;740
Ambos sexos;Total;Casados/Casadas;2005T3;705
Ambos sexos;Total;Casados/Casadas;2005T2;746,9
Ambos sexos;Total;Casados/Casadas;2005T1;841,1
Ambos sexos;Total;Casados/Casadas;2004T4;962,9
Ambos sexos;Total;Casados/Casadas;2004T3;922,5
Ambos sexos;Total;Casados/Casadas;2004T2;933,4
Ambos sexos;Total;Casados/Casadas;2004T1;963
Ambos sexos;Total;Casados/Casadas;2003T4;954,5
Ambos sexos;Total;Casados/Casadas;2003T3;932,4
Ambos sexos;Total;Casados/Casadas;2003T2;950
Ambos sexos;Total;Casados/Casadas;2003T1;984,8
Ambos sexos;Total;Casados/Casadas;2002T4;938,9
Ambos sexos;Total;Casados/Casadas;2002T3;939,4
Ambos sexos;Total;Casados/Casadas;2002T2;892,8
Ambos sexos;Total;Casados/Casadas;2002T1;911,9
Ambos sexos;Total;Viudos/Viudas;2025T1;29,9
Ambos sexos;Total;Viudos/Viudas;2024T4;30,2
Ambos sexos;Total;Viudos/Viudas;2024T3;32,6
Ambos sexos;Total;Viudos/Viudas;2024T2;32,2
Ambos sexos;Total;Viudos/Viudas;2024T1;33,1
Ambos sexos;Total;Viudos/Viudas;2023T4;33,4
Ambos sexos;Total;Viudos/Viudas;2023T3;29,2
Ambos sexos;Total;Viudos/Viudas;2023T2;32,3
Ambos sexos;Total;Viudos/Viudas;2023T1;36,5
Ambos sexos;Total;Viudos/Viudas;2022T4;34,9
Ambos sexos;Total;Viudos/Viudas;2022T3;36,2
Ambos sexos;Total;Viudos/Viudas;2022T2;35,2
Ambos sexos;Total;Viudos/Viudas;2022T1;47,2
Ambos sexos;Total;Viudos/Viudas;2021T4;38,5
Ambos sexos;Total;Viudos/Viudas;2021T3;43,6
Ambos sexos;Total;Viudos/Viudas;2021T2;38,3
Ambos sexos;Total;Viudos/Viudas;2021T1;33,2
Ambos sexos;Total;Viudos/Viudas;2020T4;37,8
Ambos sexos;Total;Viudos/Viudas;2020T3;47,6
Ambos sexos;Total;Viudos/Viudas;2020T2;36,3
Ambos sexos;Total;Viudos/Viudas;2020T1;38,8
Ambos sexos;Total;Viudos/Viudas;2019T4;40,7
Ambos sexos;Total;Viudos/Viudas;2019T3;37,9
Ambos sexos;Total;Viudos/Viudas;2019T2;31,1
Ambos sexos;Total;Viudos/Viudas;2019T1;33,3
Ambos sexos;Total;Viudos/Viudas;2018T4;40,4
Ambos sexos;Total;Viudos/Viudas;2018T3;36,5
Ambos sexos;Total;Viudos/Viudas;2018T2;45,3
Ambos sexos;Total;Viudos/Viudas;2018T1;53,4
Ambos sexos;Total;Viudos/Viudas;2017T4;50,1
Ambos sexos;Total;Viudos/Viudas;2017T3;50,1
Ambos sexos;Total;Viudos/Viudas;2017T2;50,5
Ambos sexos;Total;Viudos/Viudas;2017T1;57,3
Ambos sexos;Total;Viudos/Viudas;2016T4;55,1
Ambos sexos;Total;Viudos/Viudas;2016T3;59,7
Ambos sexos;Total;Viudos/Viudas;2016T2;61,5
Ambos sexos;Total;Viudos/Viudas;2016T1;60,3
Ambos sexos;Total;Viudos/Viudas;2015T4;67,8
Ambos sexos;Total;Viudos/Viudas;2015T3;67,4
Ambos sexos;Total;Viudos/Viudas;2015T2;66,1
Ambos sexos;Total;Viudos/Viudas;2015T1;61,3
Ambos sexos;Total;Viudos/Viudas;2014T4;56
Ambos sexos;Total;Viudos/Viudas;2014T3;62,5
Ambos sexos;Total;Viudos/Viudas;2014T2;60,9
Ambos sexos;Total;Viudos/Viudas;2014T1;65,4
Ambos sexos;Total;Viudos/Viudas;2013T4;63,5
Ambos sexos;Total;Viudos/Viudas;2013T3;57
Ambos sexos;Total;Viudos/Viudas;2013T2;57,9
Ambos sexos;Total;Viudos/Viudas;2013T1;70,6
Ambos sexos;Total;Viudos/Viudas;2012T4;67,2
Ambos sexos;Total;Viudos/Viudas;2012T3;58,1
Ambos sexos;Total;Viudos/Viudas;2012T2;61,1
Ambos sexos;Total;Viudos/Viudas;2012T1;66,5
Ambos sexos;Total;Viudos/Viudas;2011T4;54,7
Ambos sexos;Total;Viudos/Viudas;2011T3;55,2
Ambos sexos;Total;Viudos/Viudas;2011T2;57
Ambos sexos;Total;Viudos/Viudas;2011T1;56,9
Ambos sexos;Total;Viudos/Viudas;2010T4;47,7
Ambos sexos;Total;Viudos/Viudas;2010T3;49,2
Ambos sexos;Total;Viudos/Viudas;2010T2;53,4
Ambos sexos;Total;Viudos/Viudas;2010T1;53,1
Ambos sexos;Total;Viudos/Viudas;2009T4;47,6
Ambos sexos;Total;Viudos/Viudas;2009T3;46,2
Ambos sexos;Total;Viudos/Viudas;2009T2;43,6
Ambos sexos;Total;Viudos/Viudas;2009T1;37,1
Ambos sexos;Total;Viudos/Viudas;2008T4;30,4
Ambos sexos;Total;Viudos/Viudas;2008T3;29,2
Ambos sexos;Total;Viudos/Viudas;2008T2;23,1
Ambos sexos;Total;Viudos/Viudas;2008T1;23,7
Ambos sexos;Total;Viudos/Viudas;2007T4;25,1
Ambos sexos;Total;Viudos/Viudas;2007T3;24,3
Ambos sexos;Total;Viudos/Viudas;2007T2;20
Ambos sexos;Total;Viudos/Viudas;2007T1;27,3
Ambos sexos;Total;Viudos/Viudas;2006T4;24,3
Ambos sexos;Total;Viudos/Viudas;2006T3;20,9
Ambos sexos;Total;Viudos/Viudas;2006T2;19,9
Ambos sexos;Total;Viudos/Viudas;2006T1;17,9
Ambos sexos;Total;Viudos/Viudas;2005T4;20,3
Ambos sexos;Total;Viudos/Viudas;2005T3;20,4
Ambos sexos;Total;Viudos/Viudas;2005T2;31,2
Ambos sexos;Total;Viudos/Viudas;2005T1;24,5
Ambos sexos;Total;Viudos/Viudas;2004T4;25,6
Ambos sexos;Total;Viudos/Viudas;2004T3;28,1
Ambos sexos;Total;Viudos/Viudas;2004T2;24,8
Ambos sexos;Total;Viudos/Viudas;2004T1;22,5
Ambos sexos;Total;Viudos/Viudas;2003T4;21,4
Ambos sexos;Total;Viudos/Viudas;2003T3;23,8
Ambos sexos;Total;Viudos/Viudas;2003T2;26,9
Ambos sexos;Total;Viudos/Viudas;2003T1;23,3
Ambos sexos;Total;Viudos/Viudas;2002T4;23,7
Ambos sexos;Total;Viudos/Viudas;2002T3;26,4
Ambos sexos;Total;Viudos/Viudas;2002T2;23,5
Ambos sexos;Total;Viudos/Viudas;2002T1;23,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2025T1;232,6
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2024T4;197,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2024T3;208,2
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2024T2;227,4
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2024T1;270,6
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2023T4;255,2
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2023T3;231,4
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2023T2;227,2
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2023T1;260,6
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2022T4;257,2
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2022T3;233,9
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2022T2;270,1
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2022T1;283,8
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2021T4;274,1
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2021T3;282,6
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2021T2;295,4
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2021T1;297,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2020T4;298
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2020T3;281,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2020T2;255,7
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2020T1;275
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2019T4;283,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2019T3;255
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2019T2;261,8
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2019T1;299,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2018T4;286,8
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2018T3;268
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2018T2;303,7
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2018T1;325,1
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2017T4;313,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2017T3;310,9
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2017T2;338,8
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2017T1;366,3
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2016T4;342,7
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2016T3;351,4
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2016T2;376,7
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2016T1;418,9
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2015T4;404,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2015T3;413,4
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2015T2;446,6
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2015T1;446,4
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2014T4;460,4
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2014T3;466,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2014T2;496,9
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2014T1;504,4
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2013T4;474,9
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2013T3;458,7
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2013T2;480,7
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2013T1;486,9
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2012T4;422,3
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2012T3;396,2
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2012T2;406
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2012T1;420
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2011T4;384,1
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2011T3;343,3
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2011T2;334
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2011T1;335,8
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2010T4;311,2
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2010T3;301,9
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2010T2;307,2
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2010T1;304,4
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2009T4;267
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2009T3;239,2
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2009T2;269,1
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2009T1;259,7
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2008T4;200,7
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2008T3;154
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2008T2;148,3
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2008T1;140,1
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2007T4;123,6
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2007T3;110,2
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2007T2;117,5
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2007T1;108,1
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2006T4;103,3
Ambos sexos;Total;Separados/Separadas o Divorciados/Divorciadas;2006T3;94,2
